"Datos","Modelo","DIC","pseudoR2","Sobreaj.","No.Coef.Sig.","JPM.Dollar","VIX","Prod.OPEP","Dem.Petroleo","TasaLP","TasaCP"
"Originales","Reg. Lineal Multiple Frec.",NA,0.807803766911152,"No","4","Si","No","Si","Si","No","Si"
"Originales","GLM Estatico",1807.70060625308,0.792343202713802,"No","4","Si","Si","No","Si","Si","No"
"Originales","GLM Dinamico",22587.056326098,0.99999889552451,"Si","0","No","No","No","No","No","No"
"Originales","GLM Dinam. Inter. Estat. & lambda=10",384.285288243652,0.999999980631443,"Si","2*","Si*","Si*","No","No","No","No"
"Originales","GLM Dinam. Inter. Estat. & lambda=100$",654.597464841073,0.999998229180847,"Si","0","No","No","No","No","No","No"
"Originales","GLM Dinam. Inter. Estat. & lambda=100,000$",1774.18533363518,0.977432739239494,"No","2","Si","Si","No","No","No","No"
"Estandarizados","Reg. Lineal Multiple Frec.",NA,0.807803766911153,"No","4","Si","No","Si","Si","No","Si"
"Estandarizados","GLM Estatico",262.194662478046,0.824480513347168,"No","4","Si","No","Si","Si","No","Si"
"Estandarizados","GLM Dinamico",1018.17939915178,0.999453722432527,"Si","0","No","No","No","No","No","No"
"Estandarizados","GLM Dinam. Inter. Estat. & lambda=10$",144.023434458965,0.989064697767768,"Si","0","No","No","No","No","No","No"
"Estandarizados","GLM Dinam. Inter. Estat. & lambda=100$",406.553244940437,0.959078715357192,"Si","0","No","No","No","No","No","No"
"Estandarizados","GLM Dinam. Inter. Estat. & lambda=1,000$",1720.88198285044,0.897618607440319,"No","0","No","No","No","No","No","No"
"Transformados","Reg. Lineal Multiple Frec Sin Inter.",NA,0.994069195964732,"No","5","Si","Si","Si","Si","No","Si"
"Transformados","GLM Estatico Sin Inter.",107.983035651666,0.594811031809872,"No","6","Si","Si","Si","Si","Si","Si"
"Transformados","GLM Dinamico Sin Inter.",1772.70776838062,0.999896406207184,"Si","2*","No","No","Si*","No","Si*","No"
"Transformados","GLM Dinam. Sin Inter & lambda=10$",747.900347351069,0.999200991226021,"Si","2*","Si","No","No","No","Si","No"
"Transformados","GLM Dinam. Sin Inter. & lambda=100$",675.21598099359,0.989500827336368,"No","6","Si","Si","Si","Si","Si","Si"
"Transformados","GLM Dinam. Sin Inter. & lambda=1,000$",2044.59452771413,0.933515098118308,"No","2","No","No","Si","No","Si","No"
